Commit SHA,Java File,Old function signature,New function signature
4816bf05f20b696b869633978a75dd970d032ac1,MockUtil.java,"createMock(Class<T> classToMock, MockingProgress progress, MockSettingsImpl settings)","createMock(Class<T> classToMock, MockSettingsImpl settings)"
aeef47f0be9498aaa721457c5597ebdbcb3f2933,Reporter.java,"noMoreInteractionsWanted(PrintableInvocation undesired, Location actualLocation)",noMoreInteractionsWanted(PrintableInvocation undesired)
7e9220eebfebd3ea210e51a8fb78798e50452386,ThreadSafeMockingProgress.java,"mockingStarted(Object mock, Class classToMock, MockSettings mockSettings)","mockingStarted(Object mock, Class classToMock)"
185304853661d017938240eef7afced9272b7a52,ByteBuddyMockMaker.java,"MockKey(Class<T> mockedType, Set<Class> interfaces, boolean acrossClassLoaderSerialization)","MockKey(Class<T> mockedType, Set<Class> interfaces)"
aeef47f0be9498aaa721457c5597ebdbcb3f2933,Reporter.java,"wantedButNotInvokedInOrder(PrintableInvocation wanted, PrintableInvocation previous, Location previousLocation)","wantedButNotInvokedInOrder(PrintableInvocation wanted, PrintableInvocation previous)"
1a4a77996e54057ab294ce3e22fa4005d0da7132,ArgumentsAreDifferent.java,"ArgumentsAreDifferent(String message, Throwable cause, String wanted, String actual)","ArgumentsAreDifferent(String message, String wanted, String actual)"
422dab1f2251e07a0ee411b27883dcfaeea35af8,StrictStubsTestListener.java,"afterTest(Collection<Object> mocks, Throwable testFailure)",afterTest(Throwable testFailure)
c2feb7155e4af01728829980ad68097f274e831c,release.gradle,"commitIncrementedVersion(String previousVersion, String currentVersion, String buildInfo)","commitIncrementedVersion(String currentVersion, String buildInfo)"
0d3aae0cbadce3b9b83fb6b686e12fa392126f68,Reporter.java,unfinishedStubbing(Location location),unfinishedStubbing()
8b016d1d49b7b6b05f817efe6853eb28aa59b380,release.gradle,"commitUpdatedJavadoc(String buildInfo, String author)",commitUpdatedJavadoc(String buildInfo)
8b016d1d49b7b6b05f817efe6853eb28aa59b380,release.gradle,"commitIncrementedVersion(String currentVersion, String buildInfo, String author)","commitIncrementedVersion(String currentVersion, String buildInfo)"
7e9220eebfebd3ea210e51a8fb78798e50452386,CollectCreatedMocks.java,"mockingStarted(Object mock, Class classToMock, MockSettings mockSettings)","mockingStarted(Object mock, Class classToMock)"
422dab1f2251e07a0ee411b27883dcfaeea35af8,WarningTestListener.java,"afterTest(Collection<Object> mocks, Throwable testFailure)",afterTest(Throwable testFailure)
422dab1f2251e07a0ee411b27883dcfaeea35af8,SilentTestListener.java,"afterTest(Collection<Object> mocks, Throwable testFailure)",afterTest(Throwable testFailure)
8958712e22b7bc3e3dcbb766821c65691a1f6e1f,InvocationsFinder.java,"findSimilarInvocation(List<Invocation> invocations, InvocationMatcher wanted, VerificationMode mode)","findSimilarInvocation(List<Invocation> invocations, InvocationMatcher wanted)"
c5f1bba0b77a86bbb06da1d159b62cfd290cea93,InvocationContainerImpl.java,"InvocationContainerImpl(MockingProgress mockingProgress, MockCreationSettings mockSettings)",InvocationContainerImpl(MockCreationSettings mockSettings)
8b016d1d49b7b6b05f817efe6853eb28aa59b380,release.gradle,"commitReleaseNotes(String buildInfo, String author)",commitReleaseNotes(String buildInfo)
d4af3491da11293809062edf0dc63cc428d9b734,MockUtil.java,"resetMock(T mock, MockingProgress progress, ReturnValues returnValues)","resetMock(T mock, MockingProgress progress)"
568b0fe5638581f6822311e9d32c89758f78c289,MissingInvocationVerifier.java,"MissingInvocationVerifier(InvocationsAnalyzer analyzer, ActualInvocationsFinder finder, Reporter reporter)","MissingInvocationVerifier(ActualInvocationsFinder finder, Reporter reporter)"
